Timestamp,Date,Time,Emotion,Score
1770231985.0748146,2026-02-05,00:36:25,sad,0.7668
1770231985.4677556,2026-02-05,00:36:25,fear,0.3421
1770231985.593967,2026-02-05,00:36:25,neutral,0.5757
1770231985.6326501,2026-02-05,00:36:25,fear,0.2032
1770231985.7587721,2026-02-05,00:36:25,neutral,0.7121
1770231985.7668488,2026-02-05,00:36:25,sad,0.2222
1770231985.6752222,2026-02-05,00:36:25,sad,0.7758
1770231985.9010186,2026-02-05,00:36:25,sad,0.6167
1770231989.3964617,2026-02-05,00:36:29,neutral,0.5759
1770231989.555108,2026-02-05,00:36:29,neutral,0.9279
1770231989.7832441,2026-02-05,00:36:29,neutral,0.8786
1770231990.167822,2026-02-05,00:36:30,fear,0.2741
1770231990.1790917,2026-02-05,00:36:30,fear,0.2371
1770231990.213225,2026-02-05,00:36:30,neutral,0.8422
1770231990.5024166,2026-02-05,00:36:30,fear,0.2467
1770231990.6851141,2026-02-05,00:36:30,fear,0.2533
1770231990.8320177,2026-02-05,00:36:30,fear,0.2748
1770231990.9668996,2026-02-05,00:36:30,fear,0.3013
1770231991.0501726,2026-02-05,00:36:31,fear,0.6319
1770231992.2402923,2026-02-05,00:36:32,fear,0.3048
1770231992.337181,2026-02-05,00:36:32,fear,0.2620
1770231993.098361,2026-02-05,00:36:33,sad,0.8649
1770231994.0213628,2026-02-05,00:36:34,surprise,0.2377
1770231994.4111786,2026-02-05,00:36:34,fear,0.2659
1770231994.6501856,2026-02-05,00:36:34,fear,0.4460
1770231994.859137,2026-02-05,00:36:34,fear,0.8665
1770231994.9015443,2026-02-05,00:36:34,fear,0.2487
1770231994.9203634,2026-02-05,00:36:34,fear,0.2034
1770231995.1250834,2026-02-05,00:36:35,fear,0.2552
1770231995.3268692,2026-02-05,00:36:35,fear,0.2670
1770231995.5450044,2026-02-05,00:36:35,fear,0.2652
1770231995.6550505,2026-02-05,00:36:35,fear,0.2264
1770231995.7850375,2026-02-05,00:36:35,surprise,0.2809
1770231995.868775,2026-02-05,00:36:35,fear,0.2064
1770231995.9031389,2026-02-05,00:36:35,fear,0.2113
1770231996.0284946,2026-02-05,00:36:36,fear,0.2342
1770231996.7931073,2026-02-05,00:36:36,fear,0.2826
1770231996.820963,2026-02-05,00:36:36,fear,0.2764
1770231997.0667038,2026-02-05,00:36:37,fear,0.2826
1770231997.3168685,2026-02-05,00:36:37,fear,0.6293
1770231997.4158173,2026-02-05,00:36:37,neutral,0.8477
1770231997.5009782,2026-02-05,00:36:37,fear,0.2891
